,Accuracy,Precision,Recall,AUC,AP
Iteration 1,0.843434,0.796296,0.457447,0.899183,0.765812
Iteration 2,0.873737,0.782051,0.648936,0.87574,0.694417
Iteration 3,0.843038,0.735294,0.531915,0.882696,0.708531
Iteration 4,0.791878,0.789474,0.16129,0.930822,0.799385
Iteration 5,0.828283,0.809524,0.361702,0.881041,0.756438
Iteration 6,0.856061,0.728395,0.62766,0.902335,0.704695
Iteration 7,0.873418,0.84375,0.574468,0.879603,0.768279
Iteration 8,0.860406,0.851852,0.494624,0.921945,0.784394
Iteration 9,0.825758,0.777778,0.37234,0.89138,0.705048
Iteration 10,0.790404,0.823529,0.148936,0.919543,0.763541
Iteration 11,0.875949,0.816901,0.617021,0.887361,0.783661
Iteration 12,0.857868,0.707865,0.677419,0.882846,0.723125
Iteration 13,0.863636,0.844828,0.521277,0.914858,0.778742
Iteration 14,0.838384,0.840909,0.393617,0.897897,0.765902
Iteration 15,0.850633,0.79661,0.5,0.903248,0.755791
Iteration 16,0.883249,0.797468,0.677419,0.875344,0.722474
Iteration 17,0.878788,0.810811,0.638298,0.907038,0.730275
Iteration 18,0.871212,0.802817,0.606383,0.906721,0.814171
Iteration 19,0.865823,0.847458,0.531915,0.889888,0.761585
Iteration 20,0.852792,0.769231,0.537634,0.871003,0.678666
Iteration 21,0.866162,0.815385,0.56383,0.877924,0.716151
Iteration 22,0.767677,0.5625,0.095745,0.865964,0.618879
Iteration 23,0.850633,0.746479,0.56383,0.904008,0.730214
Iteration 24,0.817259,0.83871,0.27957,0.901332,0.750407
Iteration 25,0.858586,0.731707,0.638298,0.862935,0.709914
Iteration 26,0.835859,0.822222,0.393617,0.920917,0.782297
Iteration 27,0.825316,0.837838,0.329787,0.904679,0.775251
Iteration 28,0.85533,0.8,0.516129,0.901761,0.729582
Iteration 29,0.84596,0.703704,0.606383,0.867849,0.713577
Iteration 30,0.833333,0.888889,0.340426,0.927575,0.826321
Iteration 31,0.835443,0.773585,0.43617,0.900315,0.683292
Iteration 32,0.873096,0.877193,0.537634,0.874451,0.770579
Iteration 33,0.838384,0.894737,0.361702,0.921939,0.802697
Iteration 34,0.853535,0.772727,0.542553,0.875793,0.714927
Iteration 35,0.860759,0.774648,0.585106,0.882855,0.723315
Iteration 36,0.911168,0.815217,0.806452,0.933055,0.844523
Iteration 37,0.85101,0.692308,0.670213,0.88585,0.691261
Iteration 38,0.85101,0.830189,0.468085,0.879315,0.751918
Iteration 39,0.835443,0.837209,0.382979,0.91576,0.795432
Iteration 40,0.865482,0.87037,0.505376,0.9153,0.803739
